,Punta estero,Laurel,Patagua,Lado estero,Maiz 2,Maiz 1,Pero a,Los bolos a,El pero b,Los bolos b,Las piedras,Peña a,Peña b,Brazo Muerto,La isla
2019-10-21,0.07386996942080228,0.05402198203752252,0.08369251325071733,0.06839665129848356,0.05425067307980117,0.03055845057211352,0.05428434546274036,0.02196325231057919,0.07477715451710507,0.061259814135192624,0.04963113692835096,0.021512793451485893,0.02998108705355189,0.09057212262243891,0.07778060795485782
2019-10-31,0.031632383902120406,0.028047810493340677,0.02276678145614513,0.04994267548696107,0.05177930613945749,0.06584173374665603,0.09397417137212409,0.1344053155339816,0.12083778104300609,0.11425645253374538,0.06874899794268924,,0.02251675550408029,0.09473479453128726,0.12613292803004378
2019-11-10,0.03909877224290056,0.02068166239862474,0.01244539137374031,0.05418549565216282,0.04428760604601135,0.057837867369649715,0.052250224529363926,0.06289225769809695,0.04300412733908549,0.049272968004902974,0.08001602118736431,0.018928902812752176,0.029561179317397317,0.0661739103410114,0.046851013657579
2019-11-20,0.07525248287670297,0.06283258254986303,0.10807749487844448,0.09235741570069293,0.030579432100274993,0.07074946166188195,0.05270144888459487,0.054937120659160114,0.023327534204953572,0.029004675201443026,0.08009054154985519,0.038183941560972066,0.04863795150104901,0.05429788091015168,0.06861068580413077
2019-11-25,0.10652752016012197,0.06922819855304846,0.046742238937145485,0.04912346969248527,0.11567700407735293,0.12386307139589174,0.10870495247291913,0.1481331145819293,0.015998608699508653,0.030209365336030924,0.18227008835970632,0.036519768638907164,0.03830718207951396,0.14213850381384546,0.057480538358559145
2019-12-05,0.028115560909807966,0.01080349313140443,0.01295948862009464,0.025992565384573594,0.03170512229512742,0.03709953535348641,0.058038811592574915,0.03168136543539356,0.08313497797723457,0.020585903784444897,0.049846867652492535,0.021070650415022565,0.027793867104451375,0.05917668130772113,0.03926515806462149
2019-12-20,0.025879480421235487,0.021450927419887893,0.03247903112929241,0.04293309705068376,0.03818159778821168,0.04673532666601976,0.06087841447555319,0.04607390098701978,0.0694912134121233,0.05040048007915995,0.07457417081833298,0.02282618405325919,0.014657512999958773,0.09489810552119297,0.06166203707198253
2019-12-30,0.07975204091704799,0.08399321512369907,0.06792354100705247,0.05193426098631688,0.03351981562288577,0.07020517039336051,0.04296290913873848,0.03587072750983594,0.05174026236035568,0.0298539537247904,0.0647190335777824,0.016905496665586255,0.026613306287891453,0.06015556612467746,0.056028856692449974
2020-01-04,0.03722419433607637,0.027197781442201564,0.04853805448941839,0.03437118198066738,0.04604035167111373,0.05990245448670571,0.058237644641607605,0.03839373836722841,0.024682203365549337,0.02701362656022574,0.05534502532156269,0.017005414286703106,0.028080885530294867,0.04602180761690219,0.05767341822522404
2020-01-19,0.09270267544806768,0.0715359109530646,0.027337596770666613,0.0456124328052158,0.06767574848485033,0.09180475035568673,0.06737039972431676,0.049160168663272844,0.04563513362328581,0.07448999668210854,0.0723218864128104,0.023721681404616887,0.027139053569812895,0.050710660837047235,0.07343767573765006
2020-01-24,0.03462229653541224,0.03508348306852108,0.038564437734171196,0.04497177639711976,0.04540033368756549,0.0720733008843462,0.05115126687786046,0.04252190703586179,0.0482028586690288,0.07767390103430513,0.0607263475363932,0.068287072776966,0.0693036476183551,0.05943671937650588,0.06910997811446003
2020-01-29,0.04578463482916879,0.050874261449517455,0.052190692850290085,0.0512893237368446,0.05657121628572682,0.08498533407309347,0.07290885248520688,0.049876786563834416,0.040363497154974816,0.0912237986179318,0.07614541464524123,0.07167552253635086,0.0851644770153861,0.08626030786734308,0.09872995910567876
