,Punta estero,Laurel,Patagua,Lado estero,Maiz 2,Maiz 1,Pero a,Los bolos a,El pero b,Los bolos b,Las piedras,Peña a,Peña b,Brazo Muerto,La isla
2019-10-21,0.6413577044451678,0.6475747426350912,0.6901701930156007,0.734350901636584,0.7260011387052301,0.6389358212249447,0.49658757249248997,0.6905987952366348,0.5628629382749665,0.7807639674136513,0.734800785145861,0.7145431980942235,0.8006615693184136,0.6842569655395081,0.7828244848327289
2019-10-31,0.7196050573278356,0.7988893191019694,0.7949774911470502,0.7841937361092403,0.7816103043094758,0.6656934950086806,0.7234059475133512,0.4651270685969172,0.48996210928993356,0.5198910361842105,0.401118950857877,,0.32980962900015026,0.42436996459960935,0.6003690267545945
2019-11-10,0.7840328075267651,0.8124443160163032,0.8156640358803057,0.8057418823242187,0.5896767429880219,0.7376701277915878,0.7327583425035464,0.7639986779078964,0.7083057066071129,0.7056922511050575,0.634243092638381,0.8050828413529829,0.7708952811958351,0.7507609854754802,0.7868681507305887
2019-11-20,0.7246704666702836,0.5165531370374892,0.48054014782296534,0.46023722681505924,0.7917003305858634,0.7796111444030145,0.7962889321178238,0.740095910947185,0.8055055020002514,0.7935452109888981,0.7262193395736369,0.7502974539092093,0.7207441469973491,0.7643227271900466,0.6985418083182239
2019-11-25,0.5800625043424222,0.6998099750942655,0.7051910685601636,0.7016975139749462,0.6576170350708896,0.544041645096009,0.751045617634119,0.6062567207250702,0.8090674679017259,0.7385147094726563,0.6191673865685097,0.7489116321910512,0.7689499722802814,0.6933068084716797,0.7538221617471914
2019-12-05,0.7791770652488426,0.8057545555962456,0.8018300659559969,0.790545496447333,0.7500804922838591,0.735449280401673,0.44583345828291887,0.6968194630520403,0.5107863684442024,0.7727914910567434,0.784189021333735,0.7413441975911458,0.737929476415936,0.7554852770981882,0.8066197938886519
2019-12-20,0.7793178982204861,0.7736881573994955,0.7584253709264263,0.6686783889244343,0.7784384450604839,0.7697393243963068,0.6074792839019735,0.7254478517642691,0.6562233687086335,0.7247432507966695,0.7238957831200133,0.7831565163352273,0.7661892515994596,0.6161020121280195,0.6259807981593074
2019-12-30,0.5428792882848669,0.7543612586127387,0.7130703079366238,0.6802697543440194,0.7637836376675166,0.49022636028251265,0.752537400127253,0.7939078591086648,0.7065009150364444,0.7954315988641036,0.7887167423329455,0.7809606378728693,0.7457736390255404,0.7217734784269499,0.7781268609126137
2020-01-04,0.7169268572771991,0.6896209716796875,0.7811831180180344,0.7415193755051185,0.7283959289203332,0.6957896839488636,0.6915301130674232,0.8022311502251743,0.7907006312311494,0.7923969469572368,0.7181840450205701,0.7806126450047348,0.7760278101263,0.7585589905140425,0.7000021386607651
2020-01-19,0.6800444426359954,0.7100237740410699,0.6766250943097741,0.772101356243265,0.7423434465614623,0.7149730643840752,0.7097623491478221,0.5367458122820894,0.6964850949857574,0.5726242065429688,0.7359848022460938,0.7910229307232481,0.7924536849701774,0.7814995407086729,0.7335034263011946
2020-01-24,0.7510632550274884,0.7816134558783637,0.7841557773102853,0.7285466687432651,0.744133096944675,0.7478290904651989,0.6682937683186958,0.7459453235973011,0.7442872402815014,0.7160455001027961,0.6837258846201795,0.5558473991625237,0.5899597466672614,0.7058248286752401,0.6707378990685438
2020-01-29,0.762516502097801,0.6048432456122504,0.7877747722875292,0.7516029620992726,0.7539958917664848,0.7619693640506628,0.69702702561749,0.6839532773356792,0.7041391163025721,0.7487287019428454,0.7094737113790309,0.6043078798236269,0.6387699494354099,0.7242089872171493,0.6466156110014932
2020-02-08,0.5454286363389756,0.489059501224094,0.5228479688412675,0.5935053332098599,0.6078099172979423,0.5464805448898161,0.557416887881759,0.5356689957547779,0.5741445832853342,0.5381101507889597,0.5629157208381815,0.5357438520951705,0.5715095059517741,0.592903963206672,0.5224712141815984
2020-02-13,0.7565534803602431,0.7711186938815646,0.6727047263647536,0.6169106845198007,0.7233043576553605,0.687082695238518,0.7040829830398865,0.7782855703811015,0.6974268036297755,0.7670631810238487,0.6585727448159076,0.7769216826467803,0.7893070886807962,0.7541423615532232,0.7069368156285551
2020-02-18,0.7449162235966436,0.7725272178649902,0.7282765231028524,0.6778914879108298,0.48481968470982145,0.6941744871813842,0.7229967360528523,0.6587110059014682,0.7110091713094839,0.6674495496247944,0.62839678500561,0.7574394457267992,0.7797736561512286,0.4352516377520619,0.39897825607578014
2020-03-04,0.7781766538266782,0.7200974358452691,0.7747237541222498,0.7426351613011853,0.716953921815702,0.7391856029780224,0.7593016274303238,0.7669125391432077,0.7579612425121481,0.7326440108449835,0.7145897885586353,0.7094447280421402,0.712163928282397,0.5912999962483629,0.5646282452093999
2020-03-09,0.6939288669162327,0.7657539579603407,0.7472248968676986,0.661511177852236,0.6882337537617114,0.6095402650158814,0.681592342850363,0.7025053796689372,0.7076896278851793,0.7630716424239309,0.6973329097666638,0.7209304809570313,0.7419168742990416,0.7001323588929714,0.6657444039302475
2020-03-14,0.6706723248517071,0.6685392591688368,0.7344266231929031,0.5891832022831358,0.624092000711575,0.487082510283499,0.6860082649261515,0.7189039750532671,0.6962041369072554,0.6505531712582237,0.528648944611245,0.6951446533203125,0.6188688542675622,0.6176170908669237,0.5335479505134352
2020-03-19,0.6976308186848958,0.6269276936848959,0.642245949243088,0.7507198465281519,0.6836975792553664,0.4038884326665088,0.7211266226061832,0.7739338520144629,0.7899349918314343,0.744563132838199,0.6674469886942113,0.7645360773259943,0.7243889315482259,0.6156868034309441,0.4891218574126185
2020-03-24,0.7736243353949652,0.7870133717854818,0.7687627013970015,0.6605381406586746,0.7402914724042339,0.17023471870807685,0.6869660849883178,0.804140075179171,0.7365951742627346,0.7704849243164062,0.7178037927505818,0.7848003965435606,0.763119422203176,0.7185464310562791,0.6823929753048563
2020-03-29,0.5798628433890964,0.7191523862688729,0.6484320927592158,0.282813785312412,0.6200587003009369,0.20015489857301094,0.25299704357942365,0.40888884862263997,0.4735154795732739,0.634442138671875,0.7004602310505319,0.3362619921509246,0.3926888442620998,0.6608350973606665,0.6126221536369454
2020-04-03,0.7608989574291088,0.7442907757229276,0.8065737905532029,0.7929885338092673,0.7881310479238318,0.19275422529740768,0.7810228090579105,0.7990404869899277,0.7980525039795576,0.7569927014802632,0.7757763152426862,0.7896006266276042,0.7883074761992761,0.717384631475553,0.754072898890785
2020-04-08,0.7788877699110243,0.7581416236029731,0.7376303034036702,0.7022436207738416,0.8006047460566889,0.14813998251250296,0.787812949818508,0.8096464803396177,0.8027520473776809,0.7618226703844573,0.7869319509952626,0.8035252426609848,0.7661630652273654,0.7037427411506839,0.6872952996124858
